Name,RT [min],c_19,c_36,c_73,c_25,c_70,c_31,c_47,c_33,c_7,c_23,c_67,c_49,c_57,c_30,c_48,c_64,c_40,c_43,c_44,c_32
130.0416_2.53,2.53,855.8883404,1322.487621,895.8848739,1000.962535,820.4294936,1432.271149,814.7802511,864.6204149,774.5513157,1033.079559,573.6960448,925.3974732,797.0852583,575.1723351,877.4933794,596.9341508,1136.635717,1129.366564,1421.70788,877.2948144
130.0419_2.54,2.537,855.8883404,1322.487621,895.8848739,1000.962535,820.4294936,1432.271149,814.7802511,864.6204149,774.5513157,1033.079559,573.6960448,925.3974732,797.0852583,575.1723351,877.4933794,526.2652341,1136.635717,1571.172489,1421.70788,877.2948144
131.0736_2.96,2.96,1087.181508,2158.655746,1286.312618,1704.430627,1586.945499,2125.168836,1559.805709,1371.95133,1456.111474,2141.749867,1387.448575,1856.815961,1524.092828,1130.294808,1742.367034,1992.109863,1843.51999,2292.668538,2582.338365,1165.742522
131.0945_2.03,2.025,51045.38171,55681.25989,51183.20526,72391.46279,37368.80973,82236.60091,33535.29903,35541.80924,64047.05304,44124.12789,60333.38434,59282.40989,29047.05267,35731.21267,37156.45924,50578.9253,60567.44188,41719.80517,72280.58592,62673.2504
131.0946_2.11,2.106,135799.1777,147613.3493,123044.2834,129258.1892,108904.934,208800.3732,140403.6504,72746.53055,97904.21625,176132.7267,144010.8794,140302.0383,95050.8859,100961.062,162957.0035,124622.32,132721.7746,196325.9211,217000.4428,123984.2497
132.0245_1.41,1.405,16839.60481,13749.07501,12124.50844,8326.989825,13510.71027,13609.69195,4757.31358,10964.6634,7988.923729,10103.22854,10965.29209,20848.07484,6495.054135,7750.90232,6162.868805,11538.92561,12471.78343,18713.62582,9169.724336,20996.03523
133.0528_2.86,2.862,1191.515794,306.9719175,1459.874057,638.99593,362.9057109,736.940492,602.9805736,737.8380772,289.0668373,763.2313832,840.5646768,1218.997868,682.4372792,1148.786589,735.1055333,1404.713845,1044.703711,1437.187107,467.2339311,860.5464283
134.0943_3.10,3.104,27664.30427,26911.49386,21930.15096,21040.53543,17364.69912,28598.37759,21306.00481,21173.30237,14897.97346,28456.14242,24177.65859,22688.38632,17280.23873,17393.05638,24091.96817,17828.02655,21511.35492,23986.33746,24727.46125,18359.56406
135.0684_1.81,1.809,17448.15682,21594.46383,17133.03724,17410.164,2104.980485,10504.43977,7341.172414,12712.94753,15987.14658,8968.794763,13125.89182,18267.97639,9932.442035,11138.1684,7316.439213,15879.44133,4943.186405,6449.256659,18763.19899,8828.453552
136.0385_2.07,2.071,50220.64522,24493.78494,19355.27897,6582.553681,10538.98763,967.9948797,1774.188058,13180.31987,14390.40465,12015.63349,17251.04664,21308.1232,31723.37997,11189.14794,15679.46696,2188.752541,10556.09606,813.135748,654.8117035,536.7466554
